題號,類別,題目,解答
11,專利基本認識,哪些是法定不予發明專利的事項？,"有些技術縱然符合專利要件，亦不給予專利，而在專利法中明定不予專利，此即法定不予專利的事項。依專利法第24條規定，不予發明專利的項目有：
(1)動、植物及生產動、植物之主要生物學方法。但微生物學之生產方法，不在此限。
(2)人類或動物之診斷、治療或外科手術方法。
(3)妨害公共秩序或善良風俗者。
"
12,專利基本認識,哪些是法定不予新型專利的事項？,依專利法第105條規定，新型有妨害公共秩序或善良風俗者，不予新型專利。
13,專利基本認識,哪些是法定不予設計專利的事項？,"專利法第124條規定，不予設計專利的項目有：
(1) 純功能性設計之物品造形。
(2) 純藝術創作。
(3) 積體電路電路布局及電子電路布局。
(4)  物品妨害公共秩序或善良風俗者。"
14,專利基本認識,概念是否為專利保護的標的？,專利不保護概念，創作內容必須明確且充分揭露，可供該技術或技藝領域中具有通常知識者能瞭解，並可據以實現者，才可獲得專利保護。
15,專利基本認識,單純的發現，可以申請專利嗎？,不可以。自然界中固有存在的物、現象及法則等之科學發現，例如單純發現野生植物或天然礦物等，發現該物的行為並非利用自然法則的技術思想之創作。
16,專利基本認識,能量不滅定律之科學原理，可以申請專利嗎？,不可以。能量不滅定律、萬有引力定律等自然法則或科學原理，如本身並未被利用而表現成發明之技術內容，原屬於自然法則本身，故不屬於發明之類型。
17,專利基本認識,電腦軟體相關發明，如何判斷是否符合發明定義？,"電腦軟體相關發明如屬於非利用自然法則或非技術思想者，即非利用自然法則之技術思想之創作，不符發明之定義。
申請專利之發明僅一部分非利用自然法則，不得謂其不符合發明之定義。例如數學方法本身雖然不符合發明之定義，但利用該數學方法來優化電腦網路之負載分配的發明，不得僅因其涉及數學方法即認定不符合發明之定義。
若無法明顯判斷電腦軟體相關發明是否符合發明之定義，須進一步判斷該發明中的電腦軟體之資訊處理是否係利用硬體資源具體實現，若屬之，則符合發明定義，反之則否。(審查基準第二篇第十二章第3節發明之定義，判斷流程及說明)
"
18,專利基本認識,中文輸入法之規則或方法，可以申請專利嗎？,不可以。中文輸入法之規則或方法，係利用人類之推理力、記憶力、技能等而成，屬於人為規則或方法，並非利用自然法則，故不屬於發明之類型。(審查基準2-2-7例8)
19,專利基本認識,以手指夾球之特殊持球及投球方法為特別特徵之指叉球投球法，可以申請專利嗎？,不可以。指叉球投球法為依個人之天份及技巧熟練程度方能達成之技能，並非技術思想，亦非一般人可由其技術揭露而重複實施者，非屬發明之類型。(審查基準2-2-3第1.3.5.1節)
20,專利基本認識,數學方法、遊戲方法或運動規則，可以申請專利嗎？,不可以。申請專利之發明係利用自然法則以外之規律者，例如數學方法、遊戲或運動之規則或方法等人為之規則、方法或計畫，或其他必須藉助人類推理力、記憶力等心智活動始能執行之規則、方法或計畫，該發明本身不具有技術性，不符合發明之定義；惟遊戲機具或實施規則、方法或計畫的設備本身可能具有技術性，而符合發明之定義。(審查基準2-2-7例6)
21,專利基本認識,英文語言規則，可以申請專利嗎？,不可以。英文語言規則若為利用人類之推理力、記憶力、技能等而成，屬於人為規則或方法，而非利用自然法則，則不屬於專利保護之標的。
22,專利基本認識,商業方法，可以申請專利嗎？,商業方法若僅為社會法則、經驗法則或經濟法則等人為之規則，非利用自然法則，不符合發明之定義，但如利用電腦相關技術施行於從事商業的方法，則應針對其所利用的電腦相關技術本身予以判斷。
23,專利基本認識,傳統技藝，可以申請專利嗎？,傳統技藝為已公開且公眾得知之技藝，無法授予專利。
24,專利基本認識,引進國外已取得專利的技術，可以申請專利嗎？,在外國已公開的專利和技術，除了依法主張優先權外，在我國申請專利會因為已經喪失新穎性而不會被核准。
25,專利基本認識,引進國外的產品在國內做功能性或結構改良，可以申請專利嗎？,專利法所保護之專利，包括利用自然法則對現有物品或方法之改進。國外已有之產品，經國內做功能性或結構改良申請專利者，經審查如果符合專利法相關規定，可以獲准專利。
26,專利基本認識,何謂國際優先權？,申請人在世界貿易組織(以下稱WTO)會員或與我國相互承認優先權之外國第1次申請專利，以該外國申請之專利申請案為基礎，於12個月(設計為6個月)期間內在我國就相同技術申請專利者，申請人得主張該外國專利申請案之申請日為優先權日，作為判斷該申請案是否符合新穎性、擬制喪失新穎性、進步性及先申請原則等專利要件之基準日，此即國際優先權。
27,專利基本認識,何謂國內優先權？,申請人基於其在國內先申請之發明或新型專利案(以下稱先申請案)再提出專利之申請者(以下稱後申請案)，得就先申請案申請時說明書或圖式所載之發明或新型，主張優先權，此即國內優先權。目的係為使申請人於提出發明或新型專利申請案後，可以該先申請案為基礎，再進行改良或合併新的請求標的而提出後申請案，且能就先申請案已揭露之技術內容享受和國際優先權相同之利益。此種改良或新的請求標的，當以修正的方式在先申請案中提出時，常會被認為超出原說明書或圖式所揭露之範圍而全案不予專利，但倘若運用國內優先權，則仍有機會併在1個申請案中申請，從而可取得總括而不遺漏之權利。此時後申請案已揭露於先申請案之技術內容將以優先權日為專利要件審查基準時點，未揭露於先申請案之技術內容則以後申請案之申請日為專利要件審查基準時點。簡言之，國內優先權制度，是以一件或多件本國申請案為基礎案（即先申請案），使申請人得將各該申請案彙整為一件，並加入新的事項再提出申請，而得享有與國際優先權相同之利益。惟應注意者，設計並無國內優先權之適用。
28,專利基本認識,何謂優惠期？,"(1) 凡可供產業上利用之發明及新型，申請專利前已見於刊物、已公開實施或已為公眾所知悉者，喪失新穎性、進步性。但是申請人若出於本意或非出於本意所致公開之事實發生後12個月內申請專利者，該公開事實不屬於專利法第22條第1項及第2項不得取得發明專利之情事(新型專利準用之)，不致使其喪失新穎性、進步性，此12個月的期間就稱為優惠期。
(2) 凡可供產業上利用之設計，申請設計專利前有相同或近似之設計，已見於刊物、已公開實施者或已為公眾所知悉者，喪失新穎性、創作性。但是申請人若出於本意或非出於本意所致公開之事實發生後6個月內申請設計專利者，該公開事實非屬專利法第122條第1項及第2項不得取得設計專利之情事，不致使其喪失新穎性、創作性，此6個月的期間就稱為優惠期。
"
29,專利基本認識,申請我國或外國專利，必須考慮那些因素？,通常需考慮技術創新性、市場開發潛力、技術移轉可行性等等。
30,專利基本認識,產品要出口到國外，需要在當地申請專利嗎？,專利保護是屬地原則，產品要在當地獲得保護必須取得該國專利權。
31,專利基本認識,有些廣告或型錄會標註「世界專利」、「國際專利」，何謂「世界專利」、「國際專利」？,"專利保護是屬地原則，必須在各國分別申請專利，分別接受審查，分別取得專利權。目前尚無一國際組織可以授予全球性有效之專利權，也就是說專利權只能在獲准的國家或地區領土內依當地法律發生效力，而不及於其他國家或地區。
很多人說的「世界專利」、「國際專利」可能是指「PCT」專利申請案。「PCT」是專利合作條約(PATENT COOPERATION TREATY)的縮寫，由世界智慧財產組織（World Intellectual Property Organization ；WIPO）管理，至104年3月止有148個會員國，目前我國不是「PCT」會員國。
PCT申請分成國際階段(international phase)及國家階段(national phase)。「國際階段」指的是向PCT受理局(包括WIPO國際局及有受理PCT國際申請案之會員國專利局)提出國際專利申請案(international paten application)，主要處理認定國際申請日、國際檢索、國際公開和初步審查等程序。接下來，申請人必須向其所有欲尋求專利保護之各指定國專利局提交該國規定之翻譯本及規費，申請進入「國家階段」(一般為最早優先權日起30個月內，但須視各國具體規定)，由各國專利局依照其國內專利法規定進行審查，決定是否准予專利權。換言之，PCT申請案不是由單一的國際組織進行專利要件實體審查及授予單一專利權，而是由各國專利局實體審查及授予專利權。PCT申請最大的好處，是合格國際專利申請案與向各指定國提出之國內申請案具有同等效力，故申請人可以先用單一語文及最少的申請費取得各指定國之專利申請日，然後有30個月的充裕時間仔細考慮要進入國家階段之會員國，與準備各國翻譯文件及規費。相對於此，如果是主張巴黎公約之國際優先權，則必須在第1次申請日後12個月內，依各國規定準備好申請日所需文件並提出專利申請。(資料來源http://www.wipo.int/pct/en/faqs/faqs.html)"
32,專利基本認識,已向外國申請專利，還需要再向智慧局申請嗎？,專利採屬地主義，申請人雖已向外國申請專利，如想在我國受到專利保護，仍應該向我國申請專利。惟外國申請案已公開或已核准公告後才向我國申請者，將喪失新穎性。如申請人第1次申請專利的國家是WTO會員，或與我國有互相承認優先權，可在國外第1次申請後12個月(設計為6個月)內，儘快向我國提出申請並主張國際優先權。
33,專利基本認識,申請外國專利，必須注意那些事項？,赴目標國家或地區申請專利，需避免因自己申請前之公開，導致喪失新穎性。申請外國專利，通常需委任當地專利律師或專利代理人辦理。此外，如已在國內申請專利後，有向國外申請專利的必要時，儘快向國外提出申請並主張臺灣基礎案的優先權。
34,專利基本認識,智慧局可以協助申請人申請國外專利嗎？,本局並無提供此項服務。建議可向專利師或專利代理人洽詢，可進入本局網站首頁→專利→進入專利主題網→申請專利→代理人資訊搜尋最近3年內實際有代理專利案件之代理人清冊參考。另外，本局3樓每個月有排定專利代理人駐局輪值提供義務諮詢服務，申請人如有需要，可多加運用。
35,專利基本認識,何人可以申請專利？,專利申請權人，除專利法另有規定或契約另有約定外，原則上是指發明人、新型創作人、設計人或其受讓人或繼承人。專利申請案如由不具申請權之人提出，可構成撤銷專利權之事由。
36,專利基本認識,公司員工之創作，其專利權歸屬公司或員工？,"受雇人於職務上完成之發明、新型或設計，其專利申請權及專利權屬於雇用人。所稱職務上之發明、新型或設計，指受雇人於僱傭關係中之工作所完成之發明、新型或設計。
受雇人於非職務上完成之發明、新型或設計，其專利申請權屬於受雇人。但其發明、新型或設計係利用雇用人資源或經驗者，雇用人得於支付合理報酬後，於該事業實施其發明、新型或設計。"
37,專利基本認識,出資委託專業公司或外部專家完成的創作，其專利權歸屬何人？,出資聘請他人從事研究開發所完成之發明、新型或設計，其專利申請權及專利權之歸屬依雙方契約約定；契約未約定者，屬於發明人、新型創作人或設計人。但出資人得實施其發明、新型或設計。
38,專利基本認識,專利摘要的字數，一定要在250個字以內嗎？,發明或新型摘要係說明書之概括與提要，其目的在於以簡短之文字，載明發明或新型所要解決的技術問題、解決該問題之手段及主要用途，並可得知創作的基本內容，且在各國多作為技術公開或檢索之用，所以字數不宜太長，以不超過250字為原則。如摘要已簡要敘明所揭露創作內容之概要者，雖字數超過250字，本局將不會以此為由，通知申請人修正。
39,提出專利申請, 我第一次申請專利，應如何辦理？,"建議您參考本局網站首頁→專利FQA→認識專利，先認識專利制度並了解專利申請相關訊息，以決定欲申請何種專利及相關之權利義務。
相關專利申請書表請至本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知下載。
電子方式申請專利，可進入本局網站首頁→專利→進入專利主題網→申請專利→電子申請→專利電子申請相關事項查詢。
至於專利說明書涉及技術內容部分應如何撰寫，可諮詢本局專利義務代理人；亦可至本局網站中華民國專利資訊檢索系統查詢已公告發證案件之說明書作為撰寫之參考。
"
40,提出專利申請,專利申請案號的編碼規則為何？,"專利申請案號目前為阿拉伯數字9碼，前3位數代表專利申請年份；第4位數代表申請專利之類別，1代表發明專利，2代表新型專利，3代表設計專利；第5到第9位數代表申請的順序流水號，每年從00001開始。
衍生設計申請案號編碼方式，以原設計申請案案號加上「D」及2位數，每案從01開始。
舉發案號編碼方式，以被舉發案案號加上「N」及2位數，每案從01開始。"
41,提出專利申請,專利申請人的資格有什麼限制？,專利申請人指具名向本局提出專利申請之人，須為依法得獨立行使權利及負擔義務之主體。除自然人及法人外，公立學校、政府機關或公營造物等具有獨立預算之公法上組織，得作為申請人，若對申請人適格性有疑義時，得通知其檢附組織規程進行審查。
42,提出專利申請, 分公司可以當專利申請人嗎？,"(1) 如果是以分公司名義提出申請專利者，因分公司為受總公司管轄之分支機構，分公司與總公司之法人人格為單一不可分割，不能為權利義務主體，故非適格之申請人，本局將通知以總公司作為申請人。
(2) 經認許之外國公司在台分公司，在我國境內營業，其提出專利申請時，仍應以該外國總公司名義為申請人，不過可以該外國公司在台分公司之負責人為代表人提出申請。
(3) 至於「外國公司」在總公司設立地以外之其他國家設立之分公司（簡稱外國分公司），倘依其據以設立地之國內法規定，該外國分公司具有獨立之法人格者，則得作為專利申請人。
(4) 因此，以外國分公司作為專利申請人者，本局將通知限期補正，申請人得改以其外國總公司名義為申請人，或檢附該外國分公司在設立地具有獨立法人格之證明文件，屆期未補正或補正之文件仍無法證明者，仍應以該外國總公司名義為申請人。"
43,提出專利申請,有辦理商業登記的行號，可以當專利申請人嗎？,專利申請人應該是自然人或法人。獨資或合夥之「行號」，非屬權利義務之主體，不得為專利申請人。但可以代表人或全體合夥人為申請人提出專利申請。
44,提出專利申請,學生社團，可以當專利申請人嗎？,不行。專利申請人必須是自然人或法人。
45,提出專利申請,是否可以用「醫療財團法人所設醫院」及「學校財團法人所設學校」名義為申請人提出專利申請？,"(1).「醫療財團法人所設醫院」及「學校財團法人所設學校」，比照公立醫院及公立學校之行政慣例，可作為申請人。
(2).如以「分院」或其他如「醫護所」等名稱者，應依個案判斷，請申請人檢附相關證明文件。"
46,提出專利申請,申請專利時還沒確定申請人，可以先空白，日後再補填嗎？,"申請專利時，申請書應載明申請人之姓名或名稱，未載明者，因無法確認申請人及申請書中意思表示之主體及其效力，申請案將不予受理，但於處分前補正者，以補正之日為申請日。
※例外(審查基準1-5-1)：
申請書未載明申請人之姓名或名稱，惟依申請同時檢送之文件，已足以判明申請主體者，不影響申請日之取得，但仍須於指定期間內補正記載完整之申請書。例如：申請書僅填寫外文姓名或名稱，欠缺中文譯名，或名稱雖不完整但足以辨別申請人，或申請同時檢送之相關證明文件上已載明申請人之姓名或名稱。"
47,提出專利申請,專利申請權為共有時，應如何申請？,專利申請權為共有者，應由全體共有人提出申請。除撤回或拋棄申請案、申請分割、改請或專利法另有規定者應共同連署外，其餘程序各人皆可單獨為之。但約定有代表者，從其約定。如無委任代理人者，須指定1位為應受送達人，未指定應受送達人者，將通知申請人限期指定應受送達人，屆期未指定者，以第一順序申請人為應受送達人，同時將送達事項以副本通知其他人，並以送達於該第一順序申請人時即發生送達之效力。
48,提出專利申請,專利申請人有二人以上，可以先填寫部分申請人資訊，嗣後再補齊其他申請人資訊嗎？,申請人以最初提出之申請書所載為準，專利申請權為共有時，應載明全體共有人之姓名或名稱。申請後如須變更申請人，應檢送申請權讓與證明文件辦理讓與登記。
49,提出專利申請,專利申請人如果未滿18歲，申請書需要有父母的簽章嗎？,專利申請人如未成年者，申請書應由法定代理人(必須為父或母或監護人)簽名或蓋章。
50,提出專利申請,專利申請人為中國大陸之法人，其委任書上之簽章可否僅由代表人簽署？,"可以下列方式擇一為之：
(1) 由其法人代表人或有權簽章之人為之。
(2) 以蓋公章（即公司大章）之方式為之。
"
51,提出專利申請,發明人(新型創作人、設計人)一定是自然人嗎？可以填寫公司或學校嗎？,發明是一種事實狀態，發明人一定是自然人，公司或學校不得為發明人。新型創作人、設計人亦同。
52,提出專利申請,申請人或發明人(新型創作人、設計人)的姓名或名稱可以使用日、韓漢字或簡體字嗎？,目前實務對於是否為正體字之檢核基礎，是以教育部重編國語辭典修訂本網站（http://dict.revised.moe.edu.tw/）為依據，但在姓名部分，依據我國姓名條例第2條第1項規定：「戶籍登記之姓名，應使用教育部編訂之國語辭典或辭源、辭海、康熙等通用字典中所列有之文字。」故如為上述字典可見之中文字，亦可接受。至於簡體字或日、韓漢字如何轉換為正體字，本局尊重申請人之意願，並無統一譯法。如果將申請人或發明人(新型創作人、設計人)之姓名或名稱轉換為正體字確有困難，基於尊重當事人姓名表示方式，本局放寬申請人或發明人(新型創作人、設計人)之姓名或名稱可以使用簡體字或日、韓漢字。惟發明摘要、說明書、申請專利範圍仍應使用正體中文撰寫，不得使用簡體字或日、韓漢字。
53,提出專利申請,申請專利可以自己申請，不委託代理人嗎？,"在我國境內有住所或營業所者申請專利，可以自己辦理，亦可以委任專利師或專利代理人辦理。但在我國境內無住所或營業所者申請專利，則必須委任專利師或專利代理人辦理。
※例外(審查基準1-4-1)
1. 二人以上共同申請專利，其中在我國境內無住所或營業所者，得依行政程序法第27條規定，選定在我國境內有住所或營業所之專利申請人為全體申請專利及辦理有關專利事項，並以書面通知本局，此時可無須委任代理人。
2. 外國公司在台設有代表人及辦事處，或外國公司在台分公司以總公司名義提出專利申請時，如以其在台辦事處或分公司之地址為申請人地址，得不委任代理人。"
54,提出專利申請,誰必須委任代理人申請專利？,依專利法規定申請人在中華民國無住所或營業所者，須委任代理人辦理。
55,提出專利申請,中國大陸申請人一定要委任代理人嗎？,中國大陸申請人在我國境內無住所或營業所者，應委任代理人(專利師、專利代理人、律師)申請專利。但如在我國境內有住所或營業所，並載明於申請書者，可以不委任代理人申請專利。
56,提出專利申請,二人共同申請專利，一人在國內有住所或營業所，一人在國內沒有住所或營業所，也要委任代理人嗎？,在我國境內有住所或營業所者與在我國境內無住所或營業所者共同申請專利，該在我國境內無住所或營業所者，仍應委任代理人申請專利及辦理專利有關事項。但在我國境內無住所或營業所者，得依行政程序法第27條規定，選定在我國境內有住所或營業所之專利申請人為全體申請專利及辦理有關專利事項，並以書面通知本局，此時則可無須委任代理人。
57,提出專利申請,申請人可以在一個申請案，同時委任不同的事務所嗎？,專利申請案件，向本局提出申請時「每案」委任之代理人不得超過3人(含複代理人)，至於是否為同一事務所，則不限制。
58,提出專利申請,專利申請案的代理人有限制人數嗎？超過人數會如何處理？,"每一專利申請案號，代理人不得逾3人，如經申請人同意委任複代理人者，亦計算在內。
申請人如已委任代理人3人，又另外特別委任其他代理人辦理單一事項者，如申請讓與登記、申請閱卷、申請新型專利技術報告、申請（聯合）面詢、繳納年費等，因於該申請事項處理終結即結束委任關係，不須與原已委任之代理人合併計算，但該特別委任之代理人亦不得逾3人。
專利申請書上所載之代理人超過3人時，將通知限期補正，屆期未補正者，如申請人在我國境內有住所或營業所者，視為未委任，嗣後該申請案相關事項將直接與申請人聯繫；如申請人在我國境內無住所或營業所者，專利申請案不予受理。"
59,提出專利申請,專利申請案解除委任後， 又重行委任同一代理人，委任書還要重送嗎？需要繳納規費嗎？,委任書仍需重送，且應繳納變更規費300元。
60,提出專利申請,申請專利及辦理與專利有關的一切事項，代理人都有權限嗎？,代理權限的範圍，由本人自由決定，可為單一特定事項之代理，即僅代理為某特定行為，亦得概括代理，即概括授權為一切代理行為。採概括代理時，代理人就受任之專利申請案件得為全部程序行為，但選任或解任代理人、撤回專利申請案、撤回分割案、撤回改請案、撤回再審查申請、撤回更正申請、撤回舉發案或拋棄專利權，非受特別委任，不得為之。特別委任事項得於委任書上一併載明，不須單獨提出。若原委任書上未載明，嗣後辦理須特別委任之事項（例如撤回）時，應提出載有特別委任權限之委任書。
61,提出專利申請,委任書如何撰寫？有固定格式嗎？,委任書撰寫並無固定格式，申請人委任代理人時，所檢附之委任書，應載明代理之權限及送達處所。委任書應由申請人及代理人簽章；如委任書僅有委任人（申請人）簽章，但代理人已於申請書上簽章者，可認雙方意思合致，此時委任書僅有委任人簽章亦可。
62,提出專利申請,專利申請人為公司時，其代表人為另ㄧ家公司，委任書應如何簽署？,申請人是甲公司，其代表人為乙公司時，委任書只要蓋申請人甲公司大章及代表人乙公司大章即可。
63,提出專利申請,申請專利時聲明委任書後補，嗣後補正委任書時，委任書中簽署日期晚於申請專利日期可以嗎？,委任書是委任人及受任人之契約，只要當事人雙方意思表示ㄧ致即可，委任書只是ㄧ種證明文件，申請專利時，委任人及受任人雙方如有合意，惟來不及簽署委任書，而聲明後補，嗣後補正委任書時，委任書中簽署日期即可能晚於申請專利日期，通常是可以接受的。
64,提出專利申請,請問申請人委任書簽署的英文名字與申請書上英文姓名不符可以嗎？,原則上要一致，若不一致本局將個案認定是否應補正與申請書一致之簽名。
65,提出專利申請,專利申請人名稱因故變更，委任書上申請人名稱仍是舊名稱，是否可援用該委任書申請專利？,新申請案時委任書上申請人名稱宜與申請書填寫之申請人名稱一致，如不一致，應檢附或補正證明文件證明二者之申請人為同一主體。
66,提出專利申請,智慧局可以幫忙介紹專利師或專利代理人嗎？,"因涉及商業行為，本局不方便介紹，申請人可進入本局網站首頁→專利→進入專利主題網→申請專利→代理人資訊自行選擇。

"
67,提出專利申請,專利新申請案代理人委任書尚未補正，代理人可否撤回申請案？,新申請案時委任書上申請人名稱宜與申請書填寫之申請人名稱一致，如不一致，應檢附或補正證明文件證明二者之申請人為同一主體。
68,提出專利申請,一專利申請案委任兩個代理人，其相關公文是否會寄發給兩個代理人？,若兩代理人為同一事務所，僅會寄送一份；若為不同事務所則會分別寄給兩個代理人。
69,提出專利申請,申請人在本國無住居所，並已委任代理人，該申請人之地址可否填寫郵政信箱？,可以。
70,提出專利申請,申請專利及辦理有關專利事項，需要準備什麼文件？,申請專利及辦理有關專利事項所需文件，包括申請書、說明書、申請專利範圍、圖式(發明為必要圖式)、摘要、委任證明文件、優惠期證明文件、國際優先權證明文件、生物材料寄存證明文件、舉發理由及證據、專利權異動之證明文件等等。各項申請應備之文件及撰寫方式，請參照各相關申請須知規定。
71,提出專利申請,申請書表有規定格式嗎？如何取得？,"申請專利應使用本局規定之申請書表，申請人可由本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知下載。
電子申請，申請人可進入本局網站首頁→專利→進入專利主題網→申請專利→電子申請→專利電子申請相關事項查詢。
"
72,提出專利申請,申辦專利事項一定要使用規定的書表格式嗎？,申請人來函申辦專利事項，務必使用本局提供之申請書表，並註明案號、申請事由、姓名、地址、聯絡電話等。本局未提供申請書表的事項，才可以使用「一般書函」。
73,提出專利申請,填寫專利申請書時，應注意哪些事項？,"撰寫專利申請書時，應依格式內容依序詳實完整填寫，須特別注意如有聲明事項者，請務必於申請書中載明聲明事項。申請人並應於申請書上簽名或蓋章；如有委任代理人，得僅由代理人簽名或蓋章。申請書之撰寫，可由本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知參閱填寫範例。
電子方式申請專利，申請人可進入本局網站首頁→專利→進入專利主題網→申請專利→電子申請→專利電子申請相關事項查詢。
"
74,提出專利申請,我想指定代收人，要填在專利申請書哪一個欄位？,可將申請書WORD檔代理人欄位，變更為代收人即可。
75,提出專利申請,申請文件的文字及書寫方式有何特別規定？,"各項申請書應使用正體中文字，可手寫，亦可使用電腦編輯，以A4紙墨色打字或印刷。申請人或發明人、新型創作人及設計人之姓名或名稱應使用正體中文撰寫，惟如簡體字或日、韓漢字，翻譯為正體字確有困難者，基於尊重當事人姓名或名稱表示方式，可以使用簡體字或日、韓漢字。申請人及發明（新型創作、設計）人之外文姓名或名稱應以英文書寫為限，且其英文字體應以大寫為之。
摘要、說明書、申請專利範圍應使用正體中文撰寫，不得使用簡體字或日、韓漢字。應以墨色打字或印刷呈現，其撰寫應直式橫書、由左至右，以新細明體14號字體為之，英文字以Times New Roman 14號字，每頁並應於4邊各保留2公分之空白，並自第1頁起依序編號。
"
76,提出專利申請,可以用外文提出專利申請嗎？外文種類有無限制？,"申請書一定要用中文填寫。
至於說明書、申請專利範圍或圖式則可先以外文本提出，但必須在本局指定期間內補正中文本。外文本之語文種類以阿拉伯文、英文、法文、德文、日文、韓文、葡萄牙文、俄文或西班牙文為限。"
77,提出專利申請,可以用簡體字提出專利申請嗎？,可以。申請專利之說明書、申請專利範圍或圖式以簡體字本提出，且於本局指定期間內補正正體中文本者，以簡體字本提出之日為申請日；未於指定期間內補正者，申請案不予受理。但在處分前補正者，以補正之日為申請日。
78,提出專利申請,專利名稱有限制字數嗎？,無字數限定，但應簡明表示所申請發明、新型或設計之內容。
